Date,window_start,window_end,source_engine,published,source,title,snippet,url,impact_score,weekly_strength_score,direction_alignment,matched_terms
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,www.aeki-aice.org,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions",,https://www.aeki-aice.org/en/world-coffee-prices-2026/,0.0,0.75,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,invezz.com,Coffee price analysis: Falling wedge pattern readies market for a breakout,,https://invezz.com/news/2026/06/27/coffee-price-analysis-falling-wedge-pattern-readies-market-for-a-breakout/,-2.0,1.75,0,falling
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,www.sampoq.com,"Coffee (Arabica) Price Today — Chart, History & 2026 Forecast",,https://www.sampoq.com/commodity/coffee,0.0,0.5,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,cofdar.com,"Coffee Market Report June 2026: Prices, Exports and Risks",,https://cofdar.com/en/coffee-market-report-june-2026-en/,0.0,0.25,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,www.barchart.com,Arabica Coffee 4/5 Sep '26 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/XFU26,0.0,0.5,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,www.indexbox.io,"Coffee Market Analysis: Arabica and Robusta Price Movements, Harvest ...",,https://www.indexbox.io/blog/coffee-prices-show-divergent-trends-in-domestic-and-international-markets-conab-report-june-2026/,0.0,0.75,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,qahwaworld.com,ICO Coffee Market Report June 2026 Overview - Qahwa World,,https://qahwaworld.com/news/ico-coffee-market-report-june-2026,0.0,0.25,0,
2026-06-26,2026-06-22,2026-07-03,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,in.investing.com,Arabica Coffee 4/5 Futures Price History Chart - Investing.com IN,,https://in.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,uk.investing.com,Arabica Coffee 4/5 Futures - Sep 26 (ICFc1) - Investing.com UK,,https://uk.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,coffeetalk.com,Where are Arabica Coffee Futures Heading? - CoffeeTalk,,https://coffeetalk.com/daily-dose/top-news/10-2024/105273/,0.0,0.75,0,
2024-04-10,2024-04-06,2024-04-17,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,coffeetalk.com,Coffee Cost Crisis Estimated to Ease With Predictions of 30% Fall by ...,,https://coffeetalk.com/daily-dose/top-news/02-2025/106383/,-1.0,1.0,0,ease
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,in.investing.com,Arabica Coffee 4/5 Futures Price History Chart - Investing.com IN,,https://in.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,uk.investing.com,Arabica Coffee 4/5 Futures - Sep 26 (ICFc1) - Investing.com UK,,https://uk.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-04-21,2025-04-17,2025-04-28,duckduckgo,,www.reuters.com,Arabica coffee prices seen falling 30% by end-2025 | Reuters,,https://www.reuters.com/markets/commodities/arabica-coffee-prices-seen-falling-30-by-end-2025-2025-02-13/,-2.0,2.0,0,falling
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
2025-08-14,2025-08-10,2025-08-21,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,perfectdailygrind.com,"Coffee News Recap, 19 Sep: Arabica futures drop sharply from near ...",,https://perfectdailygrind.com/2025/09/coffee-news-recap-19-september-2025/,-6.0,5.0,1,drop sharply; drop
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,tradingeconomics.com,Arabica Coffee Futures Stay Near 7-Month Highs,,https://tradingeconomics.com/commodity/coffee/news/485622,1.0,1.5,0,highs
